rownames(exprMat)	LAU125	LAU355	LAU1255	LAU1314
TAX1BP3	16.97	6.02	8.79	8.96
TAZ	4.43	13.39	7.31	10.11
TBATA	0	0	0	0
TBC1D1	37.52	88.55	25.92	109.23
TBC1D10A	6.26	11.28	8.13	12.93
TBC1D10B	12.12	13.12	10.62	14.64
TBC1D10C	0.44	60.51	11.54	78.61
TBC1D12	2.45	2.14	2.04	1.39
TBC1D13	8.21	17.99	5.68	14.38
TBC1D14	33.46	22.14	30.14	23.48
TBC1D15	74.84	53.98	37.28	46.23
TBC1D16	22.35	0.45	16.78	0.44
TBC1D17	5.87	8.87	6.16	7.58
TBC1D19	8.73	2.63	4.23	2.71
TBC1D2	0.28	1.36	2.11	1.8
TBC1D20	22.63	13.23	15.46	14.1
TBC1D21	0	0	0	0
TBC1D22A	4.29	26.92	10.73	28.09
TBC1D22B	7.1	8	6.16	7.65
TBC1D23	22.82	11.18	11.4	13.5
TBC1D24	1.44	0.51	1	0.79
TBC1D25	4.72	12.69	9.2	13.15
TBC1D26	0	0.25	0.03	0.01
TBC1D27P	0.1	2.55	0.23	1.7
TBC1D28	0	0.03	0	0
TBC1D2B	12.52	14.83	16.19	15.06
TBC1D30	0.87	0.19	0.1	0.22
TBC1D31	9.04	6.82	3.41	7.89
TBC1D32	7.61	11.41	4.59	8.28
TBC1D3P1	0	0	0	0
TBC1D3P2	0	0	0	0
TBC1D3P3	0	0	0	0
TBC1D3P4	0	0	0	0
TBC1D3P6	0	0	0	0
TBC1D3P7	0	0	0	0
TBC1D4	10.08	18.27	15.65	24.21
TBC1D5	42.97	47.36	20.23	41.93
TBC1D7	94.06	8.13	44.57	9.79
TBC1D8	3.88	9.06	5.31	6.02
TBC1D8B	13.92	12.54	7.11	11.6
TBC1D9	1.9	43.74	6.41	34.03
TBC1D9B	50.51	40.86	27.69	35.15
TBCA	548.82	272.06	295.02	312.57
TBCAP1	0	0	0	0
TBCAP2	0.2	0	0	0
TBCAP3	0	0.09	0	0
TBCB	42.7	41.66	45.77	46.96
TBCC	8.58	17.73	14.28	16.44
TBCCD1	12.49	17.87	7.35	17.68
TBCD	8.79	6.52	8.32	7.59
TBCEL	12.95	5.35	3.34	8.18
TBCK	20.85	16.7	15.06	12.77
TBK1	19.54	16.93	12.91	19.34
TBKBP1	0.62	0.36	1	0.55
TBL1X	7.86	10.71	2.13	11.23
TBL1XR1	34.23	30.9	17.2	29.17
TBL1XR1-AS1	0	0.06	0	0.07
TBL1Y	0.12	0	0	0
TBL1YP1	0	0	0	0
TBL2	35.72	7.11	12.72	10.65
TBL3	3.09	2.49	3.21	3.52
TBP	10.9	10.75	5.06	9.26
TBPL1	8.51	20	7.65	24.22
TBPL2	0	0	0	0.02
TBR1	0.01	0.02	0	0.05
TBRG1	14.02	16.36	9.02	21.63
TBRG4	41.19	21.88	19.67	26.77
TBX1	0	0	0.02	0
TBX10	0	0.04	0	0.06
TBX15	0.33	0.15	0.01	0.01
TBX18	0.23	0	0.01	0.02
TBX18-AS1	0	0	0	0
TBX19	0.62	1.78	0.81	1.64
TBX2	40.98	0.03	4.41	0.21
TBX20	0.03	0	0.02	0.17
TBX21	0.16	4.69	4.02	3.77
TBX22	7.64	0	0.24	0
TBX3	15.41	0.02	4.23	0.28
TBX4	0.2	0.07	0.03	0.01
TBX5	0	0	0	0
TBX5-AS1	0	0.03	0	0.01
TBX6	0.41	0.43	0.31	0.16
TBXA2R	1.54	1.99	1.13	2.12
TBXAS1	8.59	28.66	16.34	14.61
TBXT	0	0.08	0	0.16
TC2N	0.59	24.5	6.68	21.98
TCAF1	29.35	5.6	8.22	10.08
TCAF1P1	1.86	0.86	0.24	0.46
TCAF2	5.22	5.55	1.68	4.35
TCAF2P1	0.45	0.71	0.17	0.46
TCAIM	28.33	12.76	15.81	12.55
TCAM1P	0.47	0.11	0.08	0.07
TCAP	0.17	0.33	0.07	0.3
TCEA1	159.87	113.87	71.94	144.15
TCEA1P1	0	0.1	0	0
TCEA1P2	37.09	9.74	14.25	9.65
TCEA1P3	0	0	0	0
TCEA1P4	0.24	0.47	0.23	0.61
TCEA2	15.52	9	14.89	6.8
TCEA3	40.42	5.3	16.47	1.86
TCEAL1	15.12	11.99	15.47	11.09
TCEAL2	0.07	1.19	0.09	0.16
TCEAL3	13.2	5.85	9.19	6.73
TCEAL3-AS1	0	0	0	0
TCEAL4	294.56	36.68	163.79	41.84
TCEAL4P1	0	0	0	0
TCEAL5	0	0	0	0
TCEAL6	0	0	0	0
TCEAL7	0	0.04	0.03	0.06
TCEAL8	76.3	29.53	55.01	39.67
TCEAL9	66.77	1.32	57.84	2.11
TCEANC	1.83	4.98	1.46	4.66
TCEANC2	7.65	8.76	3.48	8.24
TCERG1	46.31	41.83	28.01	36.63
TCERG1L	0.06	0.02	0.06	0
TCERG1L-AS1	0	0	0	0
TCF12	48.89	25.77	19.8	32.81
TCF15	0.06	0	0	0
TCF19	10.4	8.16	9.66	10.16
TCF20	16.66	19.78	11.16	17.21
TCF21	0	0	0	0
TCF23	0	0	0	0
TCF25	49.11	45.66	52.32	50.04
TCF3	4.17	14.28	5.17	21.75
TCF3P1	0.01	0.01	0	0.05
TCF4	0.47	35.43	3.68	28.58
TCF7	7.1	151.05	23.67	91.18
TCF7L1	4.82	0.4	0.72	0.45
TCF7L1-IT1	0	0	0	0
TCF7L2	12.62	1.81	12.84	0.84
TCFL5	13.97	5.47	3.35	5.31
TCHH	0	0.03	0.2	0.04
TCHHL1	0	0.01	0	0
TCHP	9.24	6.06	6.07	8.31
TCIM	0.15	0.04	0.07	0.04
TCIRG1	1.41	13.23	12.37	12.45
TCL1A	0.14	71.75	7.77	179.11
TCL1B	0	0.28	0	1.3
TCL6	4.24	7.8	3.37	14.25
TCN1	78.56	0.08	14.29	0.96
TCN2	6.57	10.35	66.62	1.42
TCOF1	12.88	16.69	16.93	19.56
TCP1	113.33	60.99	43.32	78.68
TCP10	0.01	0.06	0	0.02
TCP10L	0.24	0.23	0.29	0.26
TCP10L2	0	0	0	0
TCP11	0.42	0	0.08	0
TCP11L1	7.29	5.29	7.98	5.28
TCP11L2	2.38	7.61	2.66	6.93
TCP11X2	0	0	0	0
TCP11X3P	0	0	0	0
TCP1P1	0	0.05	0	0
TCTA	22.44	22.17	15.26	17.59
TCTE1	0.05	0.14	0	0.1
TCTE3	0	0	0	0.03
TCTEX1D1	12.57	0.02	0.35	0
TCTEX1D2	5.01	5.69	3.38	5.74
TCTEX1D4	0.25	0.27	0.26	0.12
TCTN1	27.85	10.13	13.35	13.81
TCTN2	6.27	2.76	7.37	1.44
TCTN3	25.17	17.82	19.99	21.23
TDG	17.68	17.6	12.16	22.76
TDGF1	0.13	0.04	0.04	0.03
TDGF1P1	0	0	0	0
TDGF1P2	0	0	0	0
TDGF1P3	0	0	0	0
TDGF1P4	0	0	0	0
TDGF1P5	0.06	0	0	0
TDGF1P6	0	0	0	0
TDH	0	0.15	0	0.07
TDO2	0.45	0.06	2.06	2.52
TDP1	6.57	16.26	7	16.83
TDP2	18.08	35.84	19.05	41.75
TDRD1	0	0.06	0.01	0.08
TDRD10	0.6	0	0.02	0
TDRD12	0	0	0	0
TDRD15	0	0.03	0.01	0.03
TDRD3	11.26	14.26	13.01	15.24
TDRD5	0	0	0	0.01
TDRD6	0.04	0.23	0.12	0.06
TDRD7	53.33	7.91	6.79	9.51
TDRD9	0.23	0.89	0.35	0.25
TDRG1	0	0	0.03	0
TDRKH	5.98	5.13	2.87	5.57
TDRKH-AS1	1.51	1.76	0.63	1.86
TDRP	3	0.05	0.56	0.06
TEAD1	53.33	0.11	13.38	0.55
TEAD2	12.6	2.59	8.32	1.31
TEAD3	1.51	0.03	1.45	0.16
TEAD4	2.86	0.01	5.29	0.13
TEC	0.28	6.71	2.93	7.39
TECPR1	6.74	12.23	5.71	11.42
TECPR2	7.22	3.41	4.15	3.22
TECR	62.04	33.73	48.86	41.86
TECRL	0	0.01	0	0.03
TECRP1	0	9.15	0	9.64
TECRP2	0	0	0	0
TECTA	0.26	0.07	0.08	0.14
TECTB	0.09	0	0.02	0
TEDC1	0.21	0.6	0.4	0.46
TEDC2	0.89	0.17	0.85	0.32
TEDDM1	0	0.02	0	0.01
TEDDM2P	0	0	0	0
TEF	28.51	3.56	6.22	2.75
TEFM	6.53	4.64	3.01	8.04
TEK	0.29	0	0.01	0
TEKT1	0	0.02	0	0
TEKT2	0.04	0.03	0.05	0
TEKT3	1.38	0.14	1.47	0.23
TEKT4	0.13	0.1	0.1	0.08
TEKT4P2	2.07	0.5	2.03	0.58
TEKT5	0.03	0.06	0	0.12
TELO2	1.24	1.28	1	1.67
TEMN3-AS1	0	0	0	0
TENM1	0.25	0.35	0.19	0.14
TENM2	0.01	0.04	0	0.02
TENM3	5.69	0.12	0.02	0.02
TENM4	0.1	0.1	0.4	0.23
TEP1	2.33	6.93	3.1	7.69
TEPP	0.02	0.01	0	0.08
TEPSIN	0.8	3.31	1.69	3.36
TERB1	0	0	0	0
TERB2	0	0	0	0
TERF1	78.72	36.81	33.64	44.1
TERF1P1	0	0	0	0
TERF1P2	0	0	0	0
TERF1P3	0	0	0	0
TERF1P4	0	0	0	0
TERF1P5	0	0	0	0
TERF2	17.22	22.25	9.44	31.45
TERF2IP	117.05	87.24	73.77	101.91
TERT	0.05	0.05	0.03	0.13
TES	76.85	46.99	15.45	61.3
TESC	0.17	9.51	3.57	6.54
TESK1	5.66	12.55	9.05	17.94
TESK2	3.31	7.23	2.55	9.85
TESMIN	3.37	0.48	0.98	0.43
TESPA1	0.77	66.11	11.56	50.68
TET1	3.66	0.65	0.6	0.6
TET1P1	0.01	0.05	0.02	0
TET2	8.62	7.31	5.32	7.08
TET2-AS1	0	0.32	0	0
TET3	2.13	4.17	2.12	3.84
TEX10	9.23	15.36	6.08	20.3
TEX101	0	0.02	0	0
TEX11	0.01	0	0	0.02
TEX12	0.1	0.08	0.07	0.07
TEX13B	0	0	0	0
TEX14	0.22	0.09	0.26	0.12
TEX15	4.09	0.02	0	0.03
TEX19	0.06	0.02	0.02	0.01
TEX2	35.84	7.31	21.03	6.24
TEX21P	0.45	0.41	0.14	0.64
TEX22	0.18	0.08	0.04	0.14
TEX26	0	0	0	0
TEX26-AS1	0	0	0	0
TEX261	46.51	34.86	30.7	40.32
TEX264	81.2	45.1	73.79	46.84
TEX29	0	0.19	0	0.14
TEX30	5.45	5.26	8.91	10.01
TEX33	0	0	0	0
TEX35	0.15	0.02	0	0
TEX36	0	0	0.03	0
TEX36-AS1	0	0	0	0
TEX37	0	0	0	0
TEX38	0.1	0	0.06	0.06
TEX41	15.94	0	13.03	0.06
TEX43	0	0	0	0
TEX44	0	0	0	0
TEX45	0.42	0	0.18	0.03
TEX46	0.31	0.04	0.25	0
TEX47	0	0	0	0
TEX48	0	0	0	0.1
TEX50	0.32	0	0	0
TEX51	0	0	0	0
TEX53	0	0.23	0.06	0.07
TEX9	4.7	7.79	2.22	13.89
TF	307.96	0.36	154.64	3.77
TFAM	31.26	44.9	14.01	43.7
TFAMP1	0.04	0.09	0	0
TFAMP2	0.03	0	0	0.39
TFAP2A	74.44	0.1	76.32	0.52
TFAP2A-AS1	2.58	0.02	3.55	0.02
TFAP2B	0	0	0	0
TFAP2C	6.54	0	9.33	0.33
TFAP2D	0	0	0	0
TFAP2E	0.58	0.64	0.32	0.46
TFAP4	2.25	2.57	1.97	3.02
TFB1M	13.84	8.52	2.81	13.15
TFB2M	13.15	8.7	8.27	9.4
TFCP2	26.86	26.58	13.91	29.16
TFCP2L1	2.17	0.26	0.14	0.22
TFDP1	27.29	52.87	22.87	70.37
TFDP2	47.95	23.83	40.97	22.51
TFDP3	0.18	0.05	0	0
TFE3	11.04	12.2	10.88	11.64
TFEB	1.73	18.51	3.25	21.51
TFEC	0.67	16.78	9.95	8.23
TFF1	0	0	0	0
TFF2	0	0	0.04	0.05
TFF3	0.07	0	0.77	0.02
TFG	88.39	29.42	81.21	30.87
TFIP11	25.39	43.78	32.32	56.93
TFP1	0.07	0.04	0.18	0.03
TFPI	157.69	2.34	2.19	3.25
TFPI2	0.22	2.84	235.06	1.58
TFPT	8.45	4.94	9.25	6.35
TFR2	1.95	0.67	0.57	0.94
TFRC	37.69	51.95	56.01	39.7
TG	0.82	0.84	0.16	0.48
TGDS	52.69	9.12	6.42	11.86
TGFA	2.47	1.46	0.16	0.56
TGFA-IT1	0	0	0	0
TGFB1	6.09	44.69	17.79	51.66
TGFB1I1	9.72	0.11	1.24	0.05
TGFB2	16.08	1.47	0.95	0.63
TGFB2-AS1	0.59	0	0	0
TGFB3	3.04	2.06	1.23	1.7
TGFBI	20.13	39.47	121.47	18.92
TGFBR1	12.88	8.16	7.56	8.75
TGFBR2	27.39	85.38	44.23	70.52
TGFBR3	12.08	3.34	9.75	5.81
TGFBRAP1	15.07	11.9	11.3	11.72
TGIF1	28.63	23.64	146.21	12.22
TGIF2	7.94	14.43	6.57	15.25
TGIF2LX	0.05	0	0	0
TGIF2LY	0.04	0	0	0
TGIF2P1	0	0.07	0	0.08
TGM1	0	0.09	0.08	0.29
TGM2	34.04	2.73	9.85	2.35
TGM3	0.03	0	0.04	0
TGM4	0.07	0.21	0.01	0.04
TGM5	0.02	0.06	0.55	0.08
TGM6	0	0	0	0
TGM7	0	0.05	0.02	0
TGOLN2	54.24	104.99	58.3	102.73
TGS1	19.69	14.64	12.07	16.13
TH	0.03	0	0	0
TH2LCRR	0.3	0.55	0	0.41
THADA	15.59	25.36	11.29	24.43
THAP1	9.54	12.84	4.35	13.56
THAP10	3.27	0.14	1.01	0.1
THAP11	7.92	14.59	7.69	17.08
THAP12	50.78	103.93	72.6	102.19
THAP12P1	0	0	0	0
THAP12P2	0	0	0	0
THAP12P3	0.04	0.05	0.05	0.04
THAP12P4	0	0	0	0
THAP12P5	0	0	0	0
THAP12P6	0	0.01	0.05	0
THAP12P7	0.02	0.01	0	0.06
THAP12P8	0.02	0.19	0.06	0.34
THAP12P9	0	0	0	0.03
THAP2	1.44	1.78	0.7	2.7
THAP3	8.26	3.89	4.57	6.55
THAP4	8.54	14.07	8.59	13.49
THAP5	50.94	25.46	13.13	35.53
THAP5P1	0	0	0	0
THAP6	9.39	8.39	6.02	9.82
THAP7	4.23	9.19	7.3	8.47
THAP7-AS1	0.61	1.69	0.97	0.75
THAP8	2.12	0.71	1.26	1.36
THAP9	2.63	2.07	1.31	2.96
THAP9-AS1	30.21	29.96	23.67	40.16
THBD	0.78	1.89	2.98	1.15
THBS1	1.44	2.16	20.94	2.06
THBS2	3.82	0.16	0.18	3.91
THBS3	5.27	2.27	10.87	1.95
THBS4	2.62	0.6	0.35	0.25
THEG	0.05	0	0	0
THEGL	1.89	0.04	0.33	0
THEM4	18.85	22.59	11.85	16.99
THEM5	0.5	1.09	0.59	1.04
THEM6	9.52	4.12	8.58	4.73
THEM7P	0.1	0	0	0
THEMIS	0.49	26.83	9.53	15.34
THEMIS2	2.34	28.37	21.44	21.47
THEMIS3P	0	0.01	0	0.02
THG1L	16.19	15.75	10.1	18.52
THNSL1	5.35	3.01	3.8	3.68
THNSL2	2.6	2.06	5.85	1.79
THOC1	12.83	13.36	9.1	12.94
THOC2	54.91	46.44	28.87	51.55
THOC3	24.95	15.17	20.87	27.02
THOC5	11	18.26	24.93	23.96
THOC6	4.64	8.91	5.41	10.87
THOC7	119.77	79.25	86.39	82.49
THOC7-AS1	0.04	0.13	0	0
THOP1	4.15	5.77	4.93	6.04
THPO	0.02	0.01	0	0
THRA	19.36	8.58	9.69	5.59
THRAP3	72.8	63.39	56.49	72.08
THRAP3P1	0	0.01	0	0.03
THRB	0.27	2.32	0.09	1.88
THRB-AS1	0	0.02	0	0
THRB-IT1	0.22	0.58	0.31	0.79
THRSP	0.17	0.07	0.02	0.1
THSD1	0.05	0.25	0.05	0.1
THSD4	0.03	0.1	0.73	0.09
THSD7A	0.7	0.01	0.03	0.01
THSD7B	0	0.01	0	0.03
THUMPD1	20.42	26.2	18.49	23.83
THUMPD1P1	0	0.04	0	0
THUMPD2	8.61	7.71	4.61	8.84
THUMPD3	62.9	26.12	46.35	34.26
THUMPD3-AS1	9.02	14.2	5.77	12.74
THUMPD3P1	0	0	0	0
THY1	26.54	0.17	0.49	0.03
THYN1	30.23	31.27	20.97	39.73
TIA1	59.52	58.15	33.35	67.75
TIAF1	0	0	0	0
TIAL1	33.1	66.47	45.79	80.94
TIAM1	4.88	8.36	3.46	6.16
TIAM2	10.74	1.31	1.13	2.78
TICAM1	1.22	4.38	3.52	4.99
TICAM2	1.01	1.96	0.95	2.07
TICRR	1.75	0.34	0.69	1.16
TIE1	5.32	0.47	0.23	0.45
TIFA	2.84	29.37	9.97	37.42
TIGAR	5.91	2.23	2.12	3.17
TIGD1	4.32	6.17	2.39	5.61
TIGD2	4.07	4	4.29	4.92
TIGD3	0.09	0.34	0.09	0.29
TIGD4	0.43	0.08	0.21	0.12
TIGD5	0.66	0.29	0.46	0.35
TIGD6	7.01	1.63	4.22	1.76
TIGD7	14.26	10.54	4.37	10.96
TIGIT	0.66	45.8	50.66	66.46
TIMD4	0.07	12.82	4.09	1.55
TIMELESS	11.98	8.15	6.19	14.06
TIMM10	53.9	26.12	68.28	40.31
TIMM10B	37.51	17.61	22.05	16.51
TIMM13	4.51	3.44	3.52	4.02
TIMM17A	44.17	26.56	35.47	38.27
TIMM17B	11.31	20.63	14.06	21.08
TIMM21	33.02	7.89	11.54	9.84
TIMM22	16.44	12.22	6.26	14.01
TIMM23B	16.41	9.98	23.67	17.88
TIMM29	3.65	2.2	3.13	2.65
TIMM44	14.57	6.22	7.6	6.55
TIMM50	13.03	6.04	11.7	5.86
TIMM8A	9.27	3.78	5	4.1
TIMM8AP1	0.12	0.49	0	0.12
TIMM8B	34.03	13.01	11.99	19.13
TIMM8BP1	0	0	0	0
TIMM8BP2	0	0	0	0
TIMM9	42.16	26.43	26.63	29.34
TIMM9P1	0	0	0	0
TIMM9P2	0.13	0.46	0	0.54
TIMM9P3	0	0	0	0
TIMMDC1	147.13	47.7	96.22	53.28
TIMP1	146.07	55.38	174.29	89.43
TIMP2	325.23	9.23	137.19	6.68
TIMP3	248.08	0.21	140.04	2.4
TIMP4	0.78	0.04	0.01	0.01
TINAG	0	0	0	0.06
TINAGL1	0.93	0.02	0.43	0.08
TINCR	0.19	0.31	0.32	0.3
TINF2	28.07	52.4	28.11	54.73
TIPARP	66.04	40.57	61.17	16.92
TIPARP-AS1	0.25	1.81	0.66	2.22
TIPIN	11.15	7.35	5.64	12.1
TIPRL	66.32	30.56	42.21	41.53
TIRAP	4.87	6.65	3.24	8.53
TJAP1	6.75	9.52	9.11	11.27
TJP1	29.77	0.02	11.34	0.32
TJP2	2.24	2.08	4.98	4.79
TJP3	0	0.35	0.02	0.28
TK1	10.74	6.07	11.21	14.73
TK2	25.57	5.93	10.85	5.95
TKFC	13.37	18.41	8.64	18.63
TKT	132.29	57.54	174.34	52.82
TKTL1	0.89	1.46	1.46	1.52
TKTL2	0	0.01	0	0.05
TLCD1	3.29	0.51	1.97	0.58
TLCD2	0.03	0	0.03	0
TLDC1	3.97	1.7	1.98	1.66
TLDC2	0.28	2.57	1.04	2.26
TLE1	8.08	7.05	11.86	5.09
TLE1P1	0	0.93	1.72	2.72
TLE2	10.97	0.89	0.14	0.42
TLE3	4.28	18.16	6.66	19.81
TLE4	23.33	21.15	5.17	23.35
TLE6	1.78	0.29	1.58	0.28
TLK1	27.26	65.29	35.36	71.88
TLK1P1	0	0	0.01	0
TLK2	9.46	14.64	8.02	15.46
TLK2P1	0.05	0	0.01	0
TLK2P2	0.03	0.06	0.02	0
TLL1	0.01	0	0	0.01
TLL2	0.02	0.17	0.04	0.04
TLN1	45.24	111.4	62.25	131.75
TLN2	11.71	0.32	5.08	0.1
TLNRD1	20.25	3.78	6.84	4.2
TLR1	9.01	38.57	13.47	33.42
TLR10	2.72	120.35	3.72	134.7
TLR12P	0	0	0	0
TLR2	7.13	3.96	8.65	1.88
TLR3	6.14	0.57	6.77	1.09
TLR4	1.35	4.88	10.01	3.46
TLR5	0.33	2.2	1.56	1.51
TLR6	4.33	23.39	2.73	32.93
TLR7	0.21	7.53	3.73	9.7
TLR8	0.22	4.42	6.34	1.46
TLR8-AS1	0	0	0	0
TLR9	0.12	1.18	0.08	2.34
TLX1	0	0	0	0
TLX1NB	0	0	0	0.01
TLX2	0.03	0.12	0.04	0.1
TLX3	0	0	0	0
TM2D1	56.04	23.49	22.97	28.35
TM2D2	53.01	15.01	14.19	19.08
TM2D3	16.56	18.74	22.03	20.99
TM4SF1	38.63	0.02	7.81	0.88
TM4SF1-AS1	0.03	0	0.05	0
TM4SF18	13.48	0	6.59	0.04
TM4SF19	0.73	0.5	0.7	0.6
TM4SF19-AS1	0.45	0.17	0.43	0.15
TM4SF20	0	0.01	0	0
TM4SF4	0.07	0	0	0
TM4SF5	0	0	0	0
TM6SF1	2.95	1.13	2.27	1.6
TM6SF2	0.2	0	0	0
TM7SF2	2.19	4.2	2.41	4.09
TM7SF3	80.41	12.47	35.7	16.11
TM9SF1	31.07	5.84	15.17	5.6
TM9SF2	70.46	74.41	62.4	95.06
TM9SF3	65.1	51.15	60.53	79.42
TM9SF4	57.43	23.32	27.35	25.58
TMA16	22.45	25.37	16.23	25.63
TMA16P1	0	0	0	0
TMA16P2	0	0	0	0.04
TMA7	223.07	230.65	226.62	253.19
TMBIM1	84.67	36.26	144.1	53.43
TMBIM4	81.42	66.07	47.25	74.09
TMBIM6	359.78	364.4	335.33	386.64
TMBIM7P	0	0	0	0
TMC1	0.05	0.03	0	0.06
TMC2	0	0	0.02	0.01
TMC3	0.05	0.03	0.01	0.06
TMC4	0.37	0.68	0.34	0.4
TMC5	0.04	0.21	0	0.39
TMC6	11.88	35.77	9.6	34.37
TMC7	0.09	0.02	0.28	0.03
TMC8	1.09	46.72	9.21	43.56
TMCC1	28.41	15.88	12.09	15.13
TMCC1P1	0	0	0	0.06
TMCC2	3.18	0.45	6.55	0.7
TMCC3	0.14	4.94	1.1	3.18
TMCO1	163.13	63.98	80.03	78.75
TMCO2	0.05	0.21	0	0
TMCO3	14.39	11.68	10.82	17.33
TMCO4	13.85	14.1	8.84	12.07
TMCO5A	0	0	0	0
TMCO5B	0	0.04	0.01	0
TMCO6	4.42	4.31	5.61	7.05
TMED1	6.25	4.08	5.85	4.31
TMED10	207.08	64.87	110.33	79.33
TMED10P1	0.15	0	0.1	0.36
TMED10P2	0	0	0	0
TMED11P	0	0	0	0.26
TMED2	252.28	98.74	128.49	114.52
TMED3	40.94	12.24	31.57	27.61
TMED4	94.84	38.33	41.39	42.04
TMED5	34.53	35.14	29.58	51.09
TMED6	0.48	0.69	0.25	0.48
TMED7	70.75	26.14	41.7	35.5
TMED7-TICAM2	3.4	2.92	5.1	4.84
TMED8	4.2	15.71	3.3	22.08
TMED9	77.05	48.27	70.82	60.45
TMEFF1	1	0.32	0.6	0.61
TMEFF2	0	0	0	0
TMEM100	0	0.01	0	0.03
TMEM101	22.66	10.26	19.91	9.74
TMEM102	0.57	1.86	0.98	2.39
TMEM104	4.4	3.48	3.48	3.1
TMEM105	0.01	0	0.03	0
TMEM106A	8.98	7.27	4.62	7.24
TMEM106B	54.87	16.91	18.77	18.39
TMEM106C	79.05	16.84	42.14	24.51
TMEM107	14.1	7.44	5.68	7.4
TMEM108	0.64	0.17	1.93	0.24
TMEM108-AS1	0	0	0.18	0.02
TMEM109	38.49	52.26	29.58	62.72
TMEM11	11.53	5.16	5.31	8.17
TMEM110-MUSTN1	0.1	0.11	0.89	0.66
TMEM114	0	0	0	0
TMEM115	13.31	6.56	17.05	7.23
TMEM116	12.37	6.81	3.32	7.51
TMEM117	15.08	2	6.27	2.35
TMEM119	0.31	0.62	0.21	0.33
TMEM120A	44.27	14.73	33.88	15.53
TMEM120B	1.33	1.71	1.89	1.42
TMEM121	0.03	0	0.08	0.03
TMEM121B	0.07	0.1	0.14	0.06
TMEM123	185.35	347.8	367.47	393.68
TMEM125	0	0.01	0.04	0.05
TMEM126A	26.4	21.93	48.55	20.66
TMEM126B	58.37	48.04	59.94	41.91
TMEM127	21.73	20.03	18.61	21.51
TMEM128	33.6	14.8	16.83	14.28
TMEM129	7.51	7.9	5.14	7.4
TMEM130	0.09	0.08	0.11	0.03
TMEM131	28.71	37.26	15.15	42.68
TMEM131L	14.5	126.51	22.35	130.1
TMEM132A	0.97	0.38	0.28	0.4
TMEM132B	0.08	0.09	0.06	0.19
TMEM132C	0	0	0	0
TMEM132D	0.81	0	0.01	0
TMEM132D-AS1	0.12	0.08	3.23	0
TMEM132E	0	0.05	0.02	0.01
TMEM134	3.38	10.34	3.21	9.29
TMEM135	42.47	7.78	25.65	13.37
TMEM136	3.67	0.32	1.64	0.3
TMEM138	13.64	15.51	12.35	16.17
TMEM139	1.72	0.2	0.45	0.43
TMEM140	13.62	10.26	13.3	13.02
TMEM141	28.73	18.69	32.82	19.62
TMEM143	1.3	1.76	1.64	1.79
TMEM144	7.32	0.62	3.69	0.28
TMEM145	2.75	0	0.16	0
TMEM147	73.56	24.55	63.94	26.59
TMEM147-AS1	0.23	1.39	0.33	0.52
TMEM14A	20.97	9.16	17.91	14.22
TMEM14B	99.15	60.02	59.12	67.6
TMEM14C	81.33	37.56	91.57	43.04
TMEM14DP	0	0.04	0	0
TMEM14EP	0	0.13	0.14	0.25
TMEM150A	4.56	3.28	7.1	2.5
TMEM150B	0	0.81	0.86	0.03
TMEM150C	0.93	0.37	0.52	0.63
TMEM151A	0	0.02	0.08	0.01
TMEM151B	0.78	0.4	0.2	0.5
TMEM154	1.63	16.12	1.37	17.79
TMEM155	0	0.61	2.85	0.99
TMEM156	1.51	52.51	11.01	65.9
TMEM158	0.72	0.02	2.35	0.08
TMEM159	6.8	5.13	5.41	7.05
TMEM160	0.23	0.27	0.63	0.59
TMEM161A	2.24	1.65	2.44	2.67
TMEM161B	19.02	14.16	14.29	19.23
TMEM161B-AS1	4.26	7.42	4.41	5.96
TMEM161BP1	0	0	0	0
TMEM163	0.16	2.54	0.35	3.73
TMEM164	13.12	5.82	6.8	5.23
TMEM165	38.6	28.51	28.98	31.22
TMEM167A	83.44	39.32	45.91	49.49
TMEM167AP1	0	0	0	0
TMEM167B	29.75	49.17	33.35	50.24
TMEM168	27.55	10.55	6.14	10.74
TMEM169	1.69	1.26	1.09	0.94
TMEM17	3.42	0.09	2.2	0.32
TMEM170A	4.58	7.98	5.21	10.08
TMEM170B	2.97	1.88	1.57	1.64
TMEM171	0.98	0.13	0.71	0.63
TMEM173	21.51	19.33	20.75	17.53
TMEM174	0	0	0	0
TMEM175	9.23	10.18	6.84	10.76
TMEM176A	17.48	18.32	25.01	4.67
TMEM176B	25.58	27.71	53.52	4.03
TMEM177	3.02	1.36	3.84	1.83
TMEM178A	0.18	0.15	0.3	0
TMEM179B	46.87	32.47	28.58	39.92
TMEM18	14.02	20.55	17.25	21.89
TMEM181	12.18	3.6	4.72	4.9
TMEM182	16.15	21.7	11.68	17.49
TMEM183A	39.4	47.16	31.5	43.01
TMEM183AP1	0	0	0	0
TMEM183B	14.34	10.12	10.8	12.45
TMEM184A	0	0	0	0
TMEM184B	6.36	5.51	10.68	7.35
TMEM184C	44.25	14.04	18.9	18.81
TMEM185AP1	0.39	0.32	1.8	0.56
TMEM185B	23.94	11.17	10.57	12.03
TMEM186	6.75	4.1	5.01	5.23
TMEM187	3	3.6	1.33	2.56
TMEM189	40.01	20.27	29.78	27.34
TMEM189-UBE2V1	15.98	9.82	6.35	12.45
TMEM19	12.08	22.85	7.82	27.67
TMEM190	0	0	0	0
TMEM191A	0.42	2.36	0.86	1.53
